country_txt,iyear,Sum of iyear
Afghanistan,,25625202
,2017,2852038
,2016,3259872
,2015,3884920
,2014,3673536
,2013,2904759
,2012,2955628
,2011,846631
,2010,1089420
,2009,1010527
,2008,831312
,2007,684387
,2006,565692
,2005,310775
,2004,176352
,2003,200300
,2002,76076
,2001,28014
,2000,28000
,1999,17991
,1998,1998
,1997,1997
,1996,7984
,1995,11970
,1994,17946
,1992,71712
,1991,59730
,1990,3980
,1989,19890
,1988,21868
,1987,1987
,1979,5937
,1973,1973
Albania,,159925
,2017,2017
,2016,4032
,2015,8060
,2014,4028
,2013,2013
,2009,2009
,2003,2003
,2001,2001
,2000,4000
,1999,5997
,1998,13986
,1997,81877
,1996,11976
,1994,3988
,1992,5976
,1991,1991
,1990,1990
,1981,1981
Algeria,,5487397
,2017,28238
,2016,18144
,2015,32240
,2014,26182
,2013,44286
,2012,82492
,2011,30165
,2010,201000
,2009,216972
,2008,214856
,2007,248868
,2006,304912
,2005,208520
,2004,134268
,2003,150225
,2002,264264
,2001,226113
,2000,276000
,1999,211894
,1998,301698
,1997,686968
,1996,257484
,1995,369075
,1994,452638
,1992,428280
,1991,59730
,1990,3980
,1979,1979
,1978,1978
,1976,1976
,1972,1972
Andorra,,1974
,1974,1974
Angola,,994451
,2017,12102
,2016,4032
,2010,4020
,2009,2009
,2002,12012
,2001,80040
,2000,44000
,1999,67966
,1998,39960
,1997,13979
,1996,7984
,1995,19950
,1994,17946
,1992,99600
,1991,31856
,1990,407950
,1989,23868
,1988,23856
,1987,5961
,1986,9930
,1985,11910
,1984,21824
,1983,13881
,1982,3964
,1981,1981
,1979,5937
,1978,3956
,1977,1977
Antigua and Barbuda,,1992
,1992,1992
Argentina,,1616458
,2017,6051
,2016,4032
,2015,2015
,2014,2014
,2013,4026
,2012,4024
,2011,2011
,2010,10050
,2009,2009
,2005,6015
,2003,2003
,2001,4002
,1999,1999
,1997,21967
,1996,37924
,1995,31920
,1994,27916
,1992,81672
,1991,53757
,1990,61690
,1989,63648
,1988,65604
,1987,158960
,1986,65538
,1985,85355
,1984,91264
,1983,35694
,1982,17838
,1981,3962
,1980,11880
,1979,31664
,1978,49450
,1977,33609
,1976,106704
,1975,75050
,1974,140154
,1973,118380
,1972,39440
,1971,13797
,1970,41370
Armenia,,48029
,2016,4032
,2015,4030
,2013,2013
,2009,2009
,2007,2007
,2001,4002
,2000,4000
,1999,3998
,1998,3996
,1996,1996
,1995,1995
,1994,7976
,1992,3984
,1991,1991
Australia,,227757
,2017,8068
,2016,18144
,2015,28210
,2014,16112
,2013,2013
,2010,2010
,2009,2009
,2008,6024
,2006,4012
,2001,4002
,2000,2000
,1998,11988
,1997,7988
,1996,9980
,1995,9975
,1994,17946
,1992,7968
,1991,7964
,1989,3978
,1988,5964
,1986,3972
,1982,3964
,1981,1981
,1980,11880
,1979,3958
,1978,3956
,1974,1974
,1972,15776
,1971,1971
,1970,1970
Austria,,228748
,2017,2017
,2016,6048
,2013,2013
,2011,2011
,2009,6027
,2008,14056
,2007,2007
,2006,2006
,1998,1998
,1997,1997
,1996,7984
,1995,23940
,1994,9970
,1992,15936
,1991,5973
,1990,1990
,1989,3978
,1988,1988
,1987,7948
,1986,7944
,1985,7940
,1984,7936
,1982,21802
,1981,5943
,1980,3960
,1979,9895
,1978,1978
,1977,9885
,1976,7904
,1975,3950
,1974,1974
,1973,3946
,1972,13804
Azerbaijan,,97945
,2017,4034
,2016,4032
,2014,6042
,2009,4018
,2008,4016
,2007,2007
,2002,2002
,2001,8004
,2000,2000
,1997,1997
,1996,3992
,1995,3990
,1994,21934
,1992,23904
,1991,5973
Bahamas,,9964
,2013,2013
,1997,3994
,1981,1981
,1976,1976
Bahrain,,416106
,2017,42357
,2016,6048
,2015,36270
,2014,84588
,2013,104676
,2012,52312
,2011,2011
,2010,4020
,2008,2008
,2006,2006
,2003,2003
,1997,21967
,1996,31936
,1995,15960
,1994,1994
,1991,1991
,1980,1980
,1979,1979
Bangladesh,,3306252
,2017,82697
,2016,177408
,2015,945035
,2014,261820
,2013,279807
,2012,36216
,2011,26143
,2010,44220
,2009,54243
,2008,38152
,2007,18063
,2006,46138
,2005,46115
,2004,22044
,2003,8012
,2002,10010
,2001,30015
,2000,46000
,1999,21989
,1998,3996
,1997,33949
,1996,321356
,1995,147630
,1994,135592
,1992,151392
,1991,83622
,1990,43780
,1989,71604
,1988,71568
,1987,11922
,1986,21846
,1985,1985
,1984,1984
,1982,1982
,1981,1981
,1980,1980
,1979,1979
,1977,1977
Barbados,,5944
,1992,1992
,1976,3952
Belarus,,26069
,2012,6036
,2011,2011
,2010,4020
,2008,2008
,2006,2006
,2001,2001
,1999,1999
,1997,3994
,1994,1994
Belgium,,306253
,2017,6051
,2016,12096
,2014,4028
,2012,2012
,2009,2009
,2007,2007
,2003,16024
,2002,6006
,1999,3998
,1998,5994
,1997,3994
,1995,1995
,1994,9970
,1992,17928
,1991,11946
,1990,3980
,1989,13923
,1988,9940
,1987,1987
,1986,5958
,1985,41685
,1984,19840
,1983,15864
,1982,1982
,1981,11886
,1980,15840
,1979,15832
,1978,15824
,1977,1977
,1976,1976
,1974,9870
,1973,1973
,1972,7888
,1970,1970
Belize,,15950
,2013,2013
,2000,2000
,1992,3984
,1991,5973
,1980,1980
Benin,,15968
,2007,2007
,1996,3992
,1995,1995
,1994,5982
,1992,1992
Bhutan,,12055
,2014,2014
,2011,2011
,2008,6024
,2006,2006
Bolivia,,623838
,2012,2012
,2009,6027
,2007,6021
,2005,2005
,2003,2003
,1997,7988
,1996,1996
,1995,3990
,1994,15952
,1992,75696
,1991,55748
,1990,21890
,1989,79560
,1988,21868
,1987,27818
,1986,7944
,1985,25805
,1984,27776
,1983,53541
,1982,53514
,1981,9905
,1980,69300
,1979,27706
,1978,5934
,1977,1977
,1976,1976
,1974,1974
,1971,3942
,1970,1970
Bosnia-Herzegovina,,317702
,2015,12090
,2014,6042
,2013,2013
,2011,2011
,2010,2010
,2009,2009
,2008,8032
,2007,4014
,2006,2006
,2005,2005
,2003,2003
,2002,6006
,2001,4002
,2000,12000
,1999,9995
,1998,17982
,1997,83874
,1996,65868
,1995,11970
,1994,17946
,1992,43824
Botswana,,19873
,1995,1995
,1990,1990
,1989,3978
,1988,5964
,1987,1987
,1985,1985
,1974,1974
Brazil,,543549
,2017,4034
,2016,4032
,2015,10075
,2014,6042
,2013,6039
,2012,2012
,2006,6018
,2003,2003
,2002,2002
,2001,6003
,2000,4000
,1999,1999
,1998,3996
,1997,77883
,1996,35928
,1995,45885
,1994,37886
,1992,47808
,1991,47784
,1990,13930
,1989,9945
,1988,3976
,1987,1987
,1986,5958
,1985,1985
,1984,9920
,1983,15864
,1982,7928
,1981,21791
,1980,37620
,1979,11874
,1978,9890
,1977,1977
,1976,9880
,1973,3946
,1972,5916
,1971,5913
,1970,11820
Brunei,,11852
,1992,1992
,1972,9860
Bulgaria,,103935
,2016,2016
,2015,4030
,2014,2014
,2013,6039
,2012,4024
,2011,4022
,2008,4016
,2002,2002
,2001,2001
,2000,4000
,1999,1999
,1998,3996
,1997,5991
,1996,23952
,1995,3990
,1994,3988
,1992,3984
,1991,5973
,1990,9950
,1984,1984
,1982,3964
Burkina Faso,,104773
,2017,64544
,2016,20160
,2015,12090
,2013,2013
,1991,3982
,1984,1984
Burundi,,1228994
,2017,42357
,2016,167328
,2015,205530
,2014,10070
,2013,4026
,2012,8048
,2011,16088
,2010,58290
,2008,14056
,2007,6021
,2006,10030
,2005,10025
,2004,2004
,2003,36054
,2002,36036
,2001,74037
,2000,34000
,1999,25987
,1998,25974
,1997,157763
,1996,69860
,1995,165585
,1994,31904
,1992,3984
,1991,13937
Cambodia,,516595
,2013,4026
,2008,4016
,2003,2003
,2002,6006
,2001,14007
,2000,8000
,1999,15992
,1998,13986
,1997,35946
,1996,65868
,1995,111720
,1994,77766
,1992,133464
,1991,5973
,1990,3980
,1989,3978
,1978,1978
,1972,3944
,1971,3942
Cameroon,,668685
,2017,189598
,2016,112896
,2015,167245
,2014,136952
,2013,6039
,2011,6033
,2010,6030
,2009,2009
,2008,2008
,2007,2007
,1998,1998
